Date,Food,Beer,Smoke,Games,Books,Hshld,Clths,Hlth,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal,Oil,Util,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin,Other
1926-07-01,1.3598,1.0712,1.5972,1.2641,1.1202,1.2227000000000001,1.1836,1.2551999999999999,1.5759,1.0578,1.2005,1.4856,1.2747,2.1078,1.5229,1.413,1.2774,1.4052,1.9279000000000002,1.8122,4.5036000000000005,1.1360000000000001,1.5670000000000002,1.3535,1.6646,1.0119,1.4665,1.1082,1.1803,1.2425
1926-08-01,1.3609,1.0675,1.6047,1.2717,1.1333,1.2213,1.1983,1.2582,1.6213000000000002,1.058,1.2045,1.5038,1.2891,2.1429,1.5511,1.4154,1.293,1.4079,1.9146999999999998,1.8681,4.5327,1.1475,1.5772,1.3786,1.6751999999999998,1.009,1.4657,1.11,1.1801,1.2551
1926-09-01,1.37,1.0858,1.6402999999999999,1.2730000000000001,1.1467,1.2118,1.1929,1.2673,1.6551,1.0625,1.2141,1.5121,1.2934,2.1669,1.5711,1.4217,1.2945,1.4118,1.9445000000000001,1.8501,4.6096,1.1505,1.5960999999999999,1.3682,1.7051,1.0095,1.4611,1.1094,1.1873,1.2721
1926-10-01,1.3714,1.0892,1.6442,1.2876,1.1442,1.2123,1.1903000000000001,1.2687,1.6846999999999999,1.0636,1.2109,1.5102,1.293,2.1493,1.5979999999999999,1.4304999999999999,1.2946,1.413,1.909,1.8641,4.6416,1.153,1.5952000000000002,1.3477000000000001,1.7034,1.0088,1.4615,1.108,1.1837,1.2624
1926-11-01,1.3588,1.0862,1.6507999999999998,1.2738,1.1579,1.2014,1.1903000000000001,1.2654,1.6506,1.0638,1.2012,1.4889999999999999,1.2953000000000001,2.0833,1.5481,1.4043999999999999,1.2851,1.419,1.899,1.8336999999999999,4.6373999999999995,1.1489,1.5874000000000001,1.3279999999999998,1.6827999999999999,1.0074,1.4503,1.1033,1.1734,1.2293
1926-12-01,1.3812,1.0925,1.6768,1.2782,1.1472,1.1991,1.1935,1.2781,1.6840000000000002,1.0659,1.2055,1.5069,1.3028,2.1384,1.5321,1.436,1.3092000000000001,1.417,1.8933,1.867,4.6965,1.1545,1.603,1.3391,1.6903000000000001,1.0078,1.4772,1.1073,1.1773,1.2386
1927-01-01,1.376,1.0888,1.6897,1.2794,1.1442,1.2024,1.1926,1.2762,1.7073,1.0703,1.2093,1.5206,1.3162,2.0994,1.5861999999999998,1.4431,1.3086,1.423,1.9136,1.8612000000000002,4.715199999999999,1.1632,1.6444,1.3234,1.7105000000000001,1.0085,1.4790999999999999,1.108,1.1854,1.2328000000000001
1927-02-01,1.3715,1.0883,1.6872,1.2843,1.1582,1.2099,1.1905999999999999,1.2885,1.7067,1.0688,1.2051,1.5171000000000001,1.3194,2.0881,1.5800999999999998,1.4382,1.321,1.4048,1.9505,1.8441,4.7852,1.1655,1.6337,1.3132,1.7181000000000002,1.007,1.465,1.1095,1.1814,1.2232
1927-03-01,1.3875,1.0996,1.7345000000000002,1.2883,1.1604,1.2178,1.1955,1.2916,1.775,1.0802,1.2136,1.5333999999999999,1.3429,2.1349,1.6306,1.4581,1.3375,1.4276,1.9561,1.879,4.9355,1.1802,1.6587,1.3289,1.7625,1.0072,1.4788000000000001,1.1164,1.1857,1.2212
1927-04-01,1.3914,1.0861,1.7709000000000001,1.2879,1.1587,1.2165,1.1955,1.294,1.8151000000000002,1.0755,1.2187000000000001,1.5382,1.3335,2.1285,1.6388,1.4472,1.3477999999999999,1.4506000000000001,1.8838,1.8784,5.0987,1.1653,1.6843,1.2971,1.7666,1.0058,1.4767000000000001,1.1116,1.1865,1.2262
