Date,Food,Beer,Smoke,Games,Books,Hshld,Clths,Hlth,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal,Oil,Util,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin,Other
1926-01-01,1.0071,1.0198,1.0084,1.0113,1.0152,1.0034,1.0075,1.0073,1.0073,1.0146,1.0062,1.0126,1.009,1.0048,1.0059,1.008,1.0086,1.0122,1.0085,1.0078,1.0087,1.0082,1.0053,1.0093,1.0138,1.0125,1.0037,1.0058,1.007,1.0066
1927-01-01,1.0057,1.0192,1.007,1.0096,1.0091,1.0042,1.0091,1.0057,1.0059,1.01,1.0069,1.0125,1.0086,1.0058,1.0054,1.0087,1.0076,1.0139,1.0098,1.0094,1.008,1.008,1.0051,1.0121,1.0153,1.0245,1.0047,1.007,1.0077,1.0065
1928-01-01,1.0046,1.0073,1.0062,1.0092,1.0047,1.0033,1.0123,1.0032,1.0042,1.0119,1.005,1.0096,1.007,1.0044,1.0035,1.0065,1.0056,1.0109,1.01,1.0068,1.0071,1.0065,1.0037,1.0077,1.0129,1.0063,1.0037,1.0057,1.0056,1.006
1929-01-01,1.0038,1.0067,1.0062,1.0055,1.0035,1.0025,1.0112,1.0025,1.0032,1.0094,1.0038,1.007,1.0045,1.0028,1.0027,1.0076,1.0042,1.0111,1.0077,1.0046,1.0067,1.0065,1.0028,1.0051,1.0117,1.0037,1.0026,1.0049,1.0058,1.0068
1930-01-01,1.0048,1.01,1.0128,1.0106,1.006,1.0031,1.0077,1.0039,1.0039,1.0216,1.0061,1.0089,1.0057,1.003,1.0061,1.0069,1.0055,1.0134,1.0094,1.004,1.006,1.0165,1.0033,1.0063,1.0124,1.0107,1.0051,1.0072,1.0122,1.0141
1931-01-01,1.0063,1.0221,1.0158,1.0137,1.0044,1.0044,1.0105,1.0046,1.0057,1.0298,1.0115,1.0148,1.01,1.0066,1.0077,1.0165,1.0118,1.0232,1.0139,1.0055,1.0079,1.0079,1.0047,1.0075,1.0186,1.0159,1.0085,1.0097,1.0161,1.0227
1932-01-01,1.0093,1.0296,1.0154,1.0376,1.0141,1.0068,1.0107,1.0055,1.0098,1.0335,1.0215,1.0416,1.0232,1.0116,1.0131000000000001,1.0365,1.0099,1.0693,1.0292,1.0093,1.0134,1.016,1.0083,1.0126,1.0498,1.0393,1.0098,1.0218,1.0248,1.0245
1933-01-01,1.0128,1.0194,1.0199,1.0557,1.0208,1.0093,1.017,1.0063,1.0109,1.0425,1.0243,1.0515,1.0267,1.0148,1.0154,1.0306,1.0206,1.0847,1.0253,1.0111,1.0143,1.0243,1.0114,1.0159,1.0771,1.0674,1.0164,1.0251,1.0222,1.0274
1934-01-01,1.0077,1.0062,1.0097,1.0426,1.0215,1.0067,1.0089,1.0037,1.0044,1.0161,1.0105,1.0208,1.012,1.0085,1.0061,1.0127,1.0094,1.0551,1.0129,1.0155,1.0125,1.0106,1.0062,1.0073,1.0376,1.0195,1.0081,1.0258,1.0167,1.011
1935-01-01,1.0064,1.0082,1.0064,1.0159,1.0132,1.0049,1.0079,1.0033,1.0047,1.0146,1.0091,1.022,1.0098,1.0084,1.0061,1.0119,1.0108,1.047,1.0132,1.0193,1.0133,1.0121,1.0053,1.0061,1.0376,1.016,1.007,1.0261,1.0165,1.0091
1936-01-01,1.0064,1.0059,1.0058,1.0118,1.0073,1.0047,1.007,1.0032,1.0035,1.0116,1.0059,1.0154,1.0066,1.0049,1.0042,1.0095,1.0074,1.05,1.0077,1.0115,1.0088,1.0199,1.0037,1.0052,1.0332,1.0146,1.0064,1.0194,1.0101,1.0067
1937-01-01,1.0057,1.0066,1.0054,1.0077,1.0078,1.004,1.0069,1.0025,1.0026,1.0084,1.0043,1.0099,1.004,1.0034,1.004,1.0058,1.0053,1.0387,1.0078,1.0096,1.0075,1.0061,1.0034,1.0054,1.0283,1.0114,1.0052,1.0126,1.0061,1.0059
1938-01-01,1.0079,1.0107,1.0078,1.0171,1.0212,1.0064,1.0115,1.0035,1.0043,1.0192,1.0089,1.0161,1.0079,1.0055,1.0082,1.0091,1.0069,1.086,1.0121,1.0165,1.0095,1.0257,1.0049,1.0088,1.0522,1.0216,1.0093,1.0222,1.0106,1.0108
