Date,Mkt-RF,SMB,HML,RMW,CMA,RF
1964-01-01,0.1259,0.004,0.09820000000000001,-0.0259,0.0664,1.0354
1965-01-01,0.1052,0.24710000000000001,0.0742,-0.0086,-0.0385,1.0393
1966-01-01,-0.1355,0.0233,-0.0083,-0.004,-0.0078000000000000005,1.0476
1967-01-01,0.2451,0.5018,-0.0806,0.0906,-0.15839999999999999,1.0421
1968-01-01,0.0891,0.2625,0.18230000000000002,-0.139,0.16870000000000002,1.0521
1969-01-01,-0.1753,-0.1421,-0.10039999999999999,0.11689999999999999,-0.0478,1.0658
1970-01-01,-0.0645,-0.12369999999999999,0.2145,-0.0331,0.2389,1.0652
1971-01-01,0.11779999999999999,0.0562,-0.1093,0.10369999999999999,-0.061500000000000006,1.0439
1972-01-01,0.1303,-0.11779999999999999,0.0146,0.08220000000000001,-0.0319,1.0384
1973-01-01,-0.2625,-0.20120000000000002,0.175,-0.0892,0.0683,1.0693
1974-01-01,-0.35810000000000003,0.006500000000000001,0.0965,-0.043899999999999995,0.2285,1.08
1975-01-01,0.32549999999999996,0.1875,0.09359999999999999,0.0092,0.0053,1.058
1976-01-01,0.21899999999999997,0.1986,0.2426,-0.0635,0.0754,1.0508
1977-01-01,-0.08220000000000001,0.24670000000000003,0.07519999999999999,0.022099999999999998,-0.002,1.0512
1978-01-01,0.0105,0.1363,0.0052,0.05,0.0418,1.0718
1979-01-01,0.1309,0.2072,-0.023700000000000002,-0.0369,-0.012,1.1038000000000001
1980-01-01,0.2198,0.0447,-0.2413,0.128,-0.11220000000000001,1.1124
1981-01-01,-0.17980000000000002,0.0697,0.2488,-0.0118,0.10619999999999999,1.1471
1982-01-01,0.10779999999999999,0.0705,0.12990000000000002,-0.0406,0.17550000000000002,1.1054
1983-01-01,0.1373,0.1222,0.20420000000000002,0.0067,0.16469999999999999,1.088
1984-01-01,-0.059800000000000006,-0.0803,0.1929,0.1503,0.0333,1.0985
1985-01-01,0.2491,-0.0091,0.0084,0.1184,-0.030899999999999997,1.0772
1986-01-01,0.1027,-0.1033,0.0955,0.0668,0.1048,1.0616
1987-01-01,-0.0385,-0.1105,-0.0126,0.0641,0.0681,1.0547
1988-01-01,0.11630000000000001,0.0603,0.1475,0.030699999999999998,0.0924,1.0635
1989-01-01,0.2045,-0.1308,-0.044000000000000004,0.0286,0.0725,1.0836999999999999
1990-01-01,-0.1384,-0.1402,-0.1011,0.0774,0.0091,1.0781
1991-01-01,0.2926,0.158,-0.1464,0.12279999999999999,-0.1519,1.056
1992-01-01,0.06269999999999999,0.0888,0.2434,0.07339999999999999,0.0711,1.0351
1993-01-01,0.08259999999999999,0.0634,0.1705,-0.0716,0.1207,1.029
1994-01-01,-0.0406,-0.023,-0.0076,0.057999999999999996,0.038599999999999995,1.039
1995-01-01,0.3125,-0.0825,0.057,0.018500000000000003,0.0252,1.056
1996-01-01,0.15990000000000001,-0.031200000000000002,0.087,0.1516,0.008,1.0521
1997-01-01,0.2602,-0.065,0.1826,0.0904,0.0538,1.0526
1998-01-01,0.1945,-0.2775,-0.10769999999999999,0.030299999999999997,-0.0403,1.0486
1999-01-01,0.2053,0.0797,-0.2861,-0.2894,-0.0678,1.0468
2000-01-01,-0.1745,0.04190000000000001,0.45280000000000004,0.2352,0.30010000000000003,1.0589
2001-01-01,-0.1502,0.2281,0.19039999999999999,0.183,0.1326,1.0383
2002-01-01,-0.22760000000000002,0.0567,0.0874,0.21030000000000001,0.1421,1.0165
2003-01-01,0.3068,0.244,0.047599999999999996,-0.2053,0.1559,1.0102
2004-01-01,0.1075,0.0733,0.0764,0.0842,-0.0739,1.012
2005-01-01,0.031400000000000004,-0.008100000000000001,0.09359999999999999,0.0149,-0.0481,1.0298
2006-01-01,0.1058,0.0159,0.11710000000000001,0.0341,0.0852,1.048
2007-01-01,0.010700000000000001,-0.0842,-0.16920000000000002,0.0451,-0.0736,1.0466
2008-01-01,-0.3825,0.0296,0.0124,0.14859999999999998,0.0311,1.016
2009-01-01,0.28350000000000003,0.0794,-0.08220000000000001,0.025099999999999997,-0.0127,1.001
2010-01-01,0.17309999999999998,0.1333,-0.0535,-0.0128,0.0992,1.0012
2011-01-01,0.0049,-0.053899999999999997,-0.0832,0.1358,-0.0092,1.0004
2012-01-01,0.163,-0.004,0.09910000000000001,-0.0562,0.09050000000000001,1.0006
2013-01-01,0.3518,0.08259999999999999,0.0254,-0.0364,0.013000000000000001,1.0002
2014-01-01,0.1174,-0.079,-0.018000000000000002,0.0113,-0.016200000000000003,1.0002
2015-01-01,0.0023,-0.057300000000000004,-0.0953,0.0098,-0.0864,1.0002
2016-01-01,0.1334,0.09050000000000001,0.2281,0.0455,0.0951,1.002
2017-01-01,0.2151,-0.06269999999999999,-0.13369999999999999,0.045599999999999995,-0.1119,1.008
2018-01-01,-0.0683,-0.0506,-0.0962,-0.012,0.002,1.0181
2019-01-01,0.2832,-0.0639,-0.1033,0.0421,-0.029300000000000003,1.0214
2020-01-01,0.2365,0.0374,-0.4694,-0.0521,-0.11699999999999999,1.0044
2021-01-01,0.23870000000000002,-0.0102,0.2561,0.2672,0.1167,1.0004
2022-01-01,-0.2127,-0.015700000000000002,0.2568,0.0655,0.225,1.0142
2023-01-01,0.2175,-0.06309999999999999,-0.1398,0.062400000000000004,-0.2061,1.0495
2024-01-01,0.1979,-0.1352,-0.08710000000000001,0.050300000000000004,-0.0983,1.0526
2025-01-01,0.133,-0.0925,0.08410000000000001,-0.1082,-0.0527,1.0425
